client_id,prenom,nom,date_naissance,genre,telephone,ville,date_inscription
CLI0001,Ibrahima,Diouf,1977-05-04,M,+221 73 328 27 23,Cotonou,2019-06-28
CLI0002,Fatou,Diop,1969-03-16,F,+221 73 338 74 87,Dakar,2022-02-23
CLI0003,Modou,Traoré,1974-11-21,M,+221 77 703 45 10,Saint-Louis,2022-11-30
CLI0004,Khady,Diallo,1971-12-23,F,+221 73 881 53 23,Thiès,2021-02-17
CLI0005,Moussa,Sy,1992-01-31,M,+221 74 926 15 68,Cotonou,2019-09-13
CLI0006,Aminata,Ba,1978-02-25,F,+221 79 982 56 83,Ziguinchor,2022-12-13
CLI0007,Ibrahima,Gueye,1975-03-23,M,+221 74 181 39 22,Bamako,2020-07-23
CLI0008,Khady,Ndiaye,1981-08-10,F,+221 75 314 95 44,Thiès,2022-06-01
CLI0009,Modou,Diouf,1975-12-25,M,+221 72 573 58 44,Cotonou,2020-03-25
CLI0010,Fatou,Sow,1966-06-10,F,+221 75 510 44 18,Ziguinchor,2022-03-07
CLI0011,Aïssatou,Gueye,1987-05-25,F,+221 76 758 68 28,Kaolack,2019-10-13
CLI0012,Modou,Ba,1976-10-14,M,+221 79 538 84 61,Abidjan,2020-03-25
CLI0013,Modou,Koné,1969-01-29,M,+221 70 981 24 29,Saint-Louis,2023-06-11
CLI0014,Mame,Fall,1982-04-06,F,+221 76 710 69 77,Kaolack,2022-02-07
CLI0015,Mamadou,Gueye,1989-02-01,M,+221 74 887 92 53,Thiès,2020-08-24
CLI0016,Mariama,Koné,1965-02-23,F,+221 74 612 32 74,Thiès,2023-11-18
CLI0017,Coumba,Sarr,1973-12-03,F,+221 72 482 30 79,Cotonou,2019-01-02
CLI0018,Adja,Diop,1970-01-07,F,+221 75 999 49 40,Dakar,2020-05-08
CLI0019,Mamadou,Diouf,1986-10-20,M,+221 71 878 78 26,Saint-Louis,2022-09-13
CLI0020,Coumba,Ndiaye,1976-11-21,F,+221 78 993 87 64,Ziguinchor,2022-01-09
CLI0021,Aliou,Traoré,1995-02-17,M,+221 75 548 76 67,Thiès,2020-05-22
CLI0022,Mamadou,Sy,1965-12-11,M,+221 79 667 39 85,Ziguinchor,2019-01-15
CLI0023,Ibrahima,Sow,1968-01-10,M,+221 70 980 52 19,Cotonou,2020-05-02
CLI0024,Adja,Sow,1989-03-10,F,+221 72 840 83 83,Lomé,2020-05-12
